,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,
,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,
1,0.0181,0.0165,0.0237,0.0217,0.0288,0.0268,0.0349,0.0365,0.0498,0.0523,0.0687,0.0723,0.0921,0.0960,0.1176,0.0957,0.1175,0.1214,0.1467,0.1521,0.1811,0.1873,0.2198,0.2269,0.2643,0.2726,0.3139,0.3242,0.3693,0.3815,0.4308,0.4450,0.4980,0.5148,0.5739,0.5926,0.6551,0.6766,0.7454,0.7699,
2,0.0158,0.0172,0.0162,0.0270,0.0214,0.0391,0.0236,0.0421,0.0304,0.0555,0.0390,0.0833,0.0495,0.0939,0.0634,0.1067,0.0739,0.1458,0.0764,0.1570,0.0940,0.1870,0.1132,0.1871,0.1372,0.2864,0.1616,0.2461,0.1911,0.3331,0.2839,0.2948,0.2673,0.2878,0.2935,0.3279,0.3353,0.3671,0.3819,0.4127,
4,0.0137,0.0256,0.0104,0.0208,0.0132,0.0349,0.0142,0.0464,0.0204,0.0743,0.0239,0.0900,0.0259,0.1536,0.0338,0.1051,0.0432,0.1776,0.0421,0.1498,0.0523,0.1710,0.0607,0.1615,0.0741,0.2488,0.0856,0.2446,0.0996,0.3015,0.1146,0.2369,0.1346,0.3345,0.1514,0.3159,0.1726,0.4337,0.2892,0.3473,
8,0.0118,0.0124,0.0121,0.0253,0.0224,0.0318,0.0419,0.0632,0.0459,0.1046,0.0377,0.0923,0.0333,0.1290,0.0288,0.1450,0.0354,0.1917,0.0415,0.1312,0.0423,0.2103,0.0509,0.1381,0.0599,0.2214,0.0709,0.1966,0.0997,0.2482,0.0959,0.2196,0.1103,0.2560,0.1247,0.2783,0.1438,0.3049,0.1591,0.2682,
16,0.0175,0.0196,0.0318,0.0342,0.0253,0.0327,0.0209,0.0404,0.0236,0.0490,0.0325,0.0967,0.0267,0.0793,0.0238,0.0980,0.0413,0.1097,0.0338,0.0994,0.0389,0.0967,0.0451,0.1169,0.0600,0.1643,0.0587,0.1433,0.0679,0.1748,0.0651,0.1943,0.0901,0.2054,0.0823,0.2129,0.0929,0.2186,0.1000,0.2132,
