,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,couciente,modulo,
1,0.0594,0.0573,0.1271,0.1011,0.1625,0.1612,0.2397,0.2346,0.3258,0.3245,0.4579,0.4582,0.6336,0.6092,0.7720,0.7867,0.9951,0.9822,1.2730,1.2384,1.5440,1.5406,1.8667,1.8622,2.2275,2.2397,2.6612,2.6478,3.1304,3.1045,3.6476,3.6546,4.2134,4.2050,4.8840,4.8988,5.5718,5.5211,6.3196,6.2597,
2,0.0319,0.0313,0.0542,0.0535,0.0814,0.0838,0.1209,0.1258,0.1764,0.1790,0.2346,0.2465,0.3181,0.3209,0.4045,0.4231,0.5229,0.5295,0.6841,0.6686,0.8123,0.8053,0.9532,0.9919,1.1720,1.1759,1.3589,1.4072,1.6406,1.6418,1.8691,1.9265,2.2124,2.1998,2.7788,2.5668,2.9627,2.9949,3.2128,3.3140,
4,0.0286,0.0285,0.0479,0.0477,0.0751,0.0753,0.1115,0.1131,0.1595,0.1602,0.2179,0.2184,0.2867,0.1985,0.2048,0.2407,0.3485,0.4509,0.5777,0.6044,0.7395,0.7385,0.8968,0.8982,1.0505,1.0724,1.2807,1.0436,1.2906,1.4971,1.7415,1.6354,1.1161,1.3878,1.3118,1.8932,2.6365,2.6518,3.0136,2.3391,
8,0.2681,0.0153,0.0252,0.0272,0.0434,0.7079,0.1279,0.0696,0.0902,0.1152,0.1173,0.1180,0.1596,0.1668,0.1921,0.2299,0.2457,0.8758,0.3560,0.9540,0.5777,1.0449,0.5786,0.5778,1.6665,0.5699,1.1956,0.6821,0.7940,1.3509,2.1300,0.9101,1.5464,1.0635,1.7147,1.2406,2.3064,1.8851,2.2654,2.5239,
16,0.0540,0.0492,0.0589,0.0553,0.0734,0.0745,0.0932,0.1039,0.1228,0.1240,0.1557,0.1770,0.1779,0.2266,0.2707,0.2852,0.2985,0.3168,0.3778,0.4258,0.4541,0.5318,0.6354,0.6588,0.6548,0.7738,0.8497,0.8985,0.9804,1.0577,1.1343,1.1923,1.3386,1.4442,1.6260,1.6848,1.7744,1.9187,2.0693,2.2288,
